日期, 总收入(元), 底部广告, 文中广告
2022-08-18, 0.12, 0.12, 0.00
2022-08-17, 0.05, 0.05, 0.00
2022-08-16, 0.76, 0.76, 0.00
2022-08-15, 0.40, 0.40, 0.00
2022-08-14, 0.94, 0.94, 0.00
2022-08-13, 6.12, 5.28, 0.83
2022-08-12, 0.06, 0.06, 0.00
2022-08-11, 0.04, 0.04, 0.00
2022-08-10, 0.17, 0.17, 0.00
2022-08-09, 0.21, 0.21, 0.00
2022-08-08, 0.16, 0.15, 0.00
2022-08-07, 0.21, 0.21, 0.00
2022-08-06, 2.88, 2.88, 0.00
2022-08-05, 2.86, 2.86, 0.00
2022-08-04, 0.06, 0.06, 0.00
2022-08-03, 0.01, 0.01, 0.00
2022-08-02, 0.00, 0.00, 0.00
2022-08-01, 0.14, 0.14, 0.00
2022-07-31, 0.07, 0.07, 0.00
2022-07-30, 0.06, 0.06, 0.00
2022-07-29, 0.03, 0.03, 0.00
2022-07-28, 0.14, 0.14, 0.00
2022-07-27, 0.05, 0.05, 0.00
2022-07-26, 0.06, 0.06, 0.00
2022-07-25, 0.07, 0.07, 0.00
2022-07-24, 0.04, 0.04, 0.00
2022-07-23, 0.08, 0.08, 0.00
2022-07-22, 0.09, 0.09, 0.00
2022-07-21, 0.05, 0.05, 0.00
2022-07-20, 2.78, 2.78, 0.01
2022-07-19, 0.05, 0.05, 0.00
2022-07-18, 0.11, 0.10, 0.01
2022-07-17, 0.31, 0.31, 0.00
2022-07-16, 0.12, 0.12, 0.00
2022-07-15, 0.34, 0.34, 0.00
2022-07-14, 3.10, 3.10, 0.00
2022-07-13, 1.14, 1.14, 0.00
2022-07-12, 0.02, 0.02, 0.00
2022-07-11, 0.05, 0.05, 0.00
2022-07-10, 0.01, 0.01, 0.00
2022-07-09, 0.01, 0.01, 0.00
2022-07-08, 0.00, 0.00, 0.00
2022-07-07, 0.17, 0.17, 0.00
2022-07-06, 0.01, 0.01, 0.00
2022-07-05, 0.05, 0.05, 0.00
2022-07-04, 0.03, 0.03, 0.00
2022-07-03, 0.03, 0.03, 0.00
2022-07-02, 0.02, 0.02, 0.00
2022-07-01, 0.02, 0.02, 0.00
2022-06-30, 0.23, 0.19, 0.04
2022-06-29, 0.02, 0.02, 0.00
2022-06-28, 0.03, 0.03, 0.00
2022-06-27, 0.06, 0.06, 0.00
2022-06-26, 0.09, 0.09, 0.00
2022-06-25, 0.10, 0.10, 0.00
2022-06-24, 0.21, 0.21, 0.00
2022-06-23, 0.02, 0.02, 0.00
2022-06-22, 0.18, 0.18, 0.00
2022-06-21, 0.05, 0.05, 0.00
2022-06-20, 0.57, 0.57, 0.00
2022-06-19, 0.88, 0.88, 0.00
2022-06-18, 8.02, 8.02, 0.00
2022-06-17, 0.51, 0.50, 0.00
2022-06-16, 0.27, 0.27, 0.00
2022-06-15, 0.35, 0.35, 0.00
2022-06-14, 0.78, 0.78, 0.00
2022-06-13, 0.21, 0.21, 0.00
2022-06-12, 0.19, 0.19, 0.00
2022-06-11, 0.23, 0.23, 0.00
2022-06-10, 0.72, 0.72, 0.00
2022-06-09, 0.72, 0.67, 0.05
2022-06-08, 1.63, 1.63, 0.00
2022-06-07, 8.00, 8.00, 0.00
2022-06-06, 20.95, 20.95, 0.00
2022-06-05, 0.25, 0.25, 0.00
2022-06-04, 0.27, 0.27, 0.00
2022-06-03, 0.04, 0.04, 0.00
2022-06-02, 0.05, 0.05, 0.00
2022-06-01, 0.04, 0.03, 0.01
2022-05-31, 0.05, 0.05, 0.00
2022-05-30, 0.27, 0.27, 0.00
2022-05-29, 0.20, 0.20, 0.00
2022-05-28, 1.09, 1.07, 0.02
2022-05-27, 0.06, 0.06, 0.00
2022-05-26, 0.09, 0.09, 0.00
2022-05-25, 0.02, 0.02, 0.00
2022-05-24, 0.01, 0.01, 0.00
2022-05-23, 0.07, 0.07, 0.00
2022-05-22, 0.01, 0.01, 0.00
2022-05-21, 0.01, 0.01, 0.00
2022-05-20, 0.04, 0.04, 0.00
