日期, 总收入(元), 底部广告, 文中广告
2022-09-18, 0.28, 0.27, 0.01
2022-09-17, 0.63, 0.63, 0.01
2022-09-16, 3.32, 3.08, 0.24
2022-09-15, 0.01, 0.01, 0.00
2022-09-14, 0.10, 0.09, 0.00
2022-09-13, 0.15, 0.14, 0.01
2022-09-12, 0.06, 0.04, 0.02
2022-09-11, 0.03, 0.02, 0.01
2022-09-10, 0.07, 0.06, 0.01
2022-09-09, 0.13, 0.11, 0.02
2022-09-08, 0.07, 0.06, 0.01
2022-09-07, 0.23, 0.07, 0.15
2022-09-06, 0.63, 0.36, 0.27
2022-09-05, 2.04, 1.09, 0.96
2022-09-04, 0.00, 0.00, 0.00
2022-09-03, 0.01, 0.01, 0.00
2022-09-02, 0.03, 0.03, 0.00
2022-09-01, 0.02, 0.01, 0.01
2022-08-31, 0.01, 0.01, 0.00
2022-08-30, 0.15, 0.14, 0.00
2022-08-29, 0.02, 0.02, 0.00
2022-08-28, 0.12, 0.12, 0.00
2022-08-27, 0.01, 0.01, 0.00
2022-08-26, 0.02, 0.02, 0.00
2022-08-25, 0.08, 0.07, 0.00
2022-08-24, 0.05, 0.05, 0.00
2022-08-23, 0.01, 0.01, 0.00
2022-08-22, 0.06, 0.06, 0.00
2022-08-21, 0.18, 0.18, 0.00
2022-08-20, 0.06, 0.06, 0.00
2022-08-19, 0.06, 0.06, 0.00
